u	mu	n	divs	mean_l1	l1_95	l1_05	exp_l1
40	4e-4	50 tracts	233	0.089608	0.15102499999999996	0.039	0.0932
40	4e-4	50 tracts	234	0.090108	0.15202499999999997	0.039	0.0936
40	4e-4	50 tracts	235	0.090284	0.15204999999999996	0.039	0.094
40	4e-4	50 tracts	236	0.090842	0.15204999999999996	0.04	0.0944
40	4e-4	50 tracts	237	0.091261	0.15204999999999996	0.04	0.0948
40	4e-4	50 tracts	238	0.091562	0.15204999999999996	0.04	0.0952
40	4e-4	50 tracts	239	0.09192	0.15204999999999996	0.04	0.0956
40	4e-4	50 tracts	240	0.09221	0.15304999999999996	0.04	0.096
40	4e-4	50 tracts	241	0.092653	0.15302499999999997	0.041	0.0964
40	4e-4	50 tracts	242	0.09308	0.15304999999999996	0.041	0.0968
40	4e-4	50 tracts	243	0.093305	0.15307499999999993	0.041	0.0972
40	4e-4	50 tracts	244	0.093384	0.15207499999999993	0.041	0.0976
40	4e-4	50 tracts	245	0.093781	0.15304999999999996	0.041	0.098
40	4e-4	50 tracts	246	0.094104	0.15404999999999996	0.041	0.0984
40	4e-4	50 tracts	247	0.09439	0.15504999999999997	0.041	0.0988
40	4e-4	50 tracts	248	0.094744	0.15604999999999997	0.041	0.0992
40	4e-4	50 tracts	249	0.094996	0.15604999999999997	0.041	0.0996
40	4e-4	50 tracts	250	0.095565	0.15604999999999997	0.041	0.1
40	4e-4	50 tracts	251	0.095693	0.15704999999999997	0.04	0.1004
40	4e-4	50 tracts	252	0.095954	0.15802499999999997	0.04	0.1008
40	4e-4	50 tracts	253	0.096626	0.159	0.041	0.1012
40	4e-4	50 tracts	254	0.097088	0.16	0.041	0.1016
40	4e-4	50 tracts	255	0.097771	0.161	0.041	0.102
40	4e-4	50 tracts	256	0.098259	0.162	0.042	0.1024
40	4e-4	50 tracts	257	0.098653	0.162	0.043	0.1028
40	4e-4	50 tracts	258	0.09898	0.162	0.044	0.1032
40	4e-4	50 tracts	259	0.099474	0.162	0.045	0.1036
40	4e-4	50 tracts	260	0.099647	0.162	0.045975	0.104
40	4e-4	50 tracts	261	0.100141	0.162	0.04695	0.1044
40	4e-4	50 tracts	262	0.10045	0.163	0.04695	0.1048
40	4e-4	50 tracts	263	0.100772	0.164	0.04695	0.1052
40	4e-4	50 tracts	264	0.101044	0.165	0.04795	0.1056
40	4e-4	50 tracts	265	0.101015	0.165	0.04795	0.106
40	4e-4	50 tracts	266	0.101288	0.165	0.04795	0.1064
40	4e-4	50 tracts	267	0.101656	0.166	0.04795	0.1068
40	4e-4	50 tracts	268	0.101975	0.167	0.04795	0.1072
40	4e-4	50 tracts	269	0.102217	0.168	0.04795	0.1076
40	4e-4	50 tracts	270	0.102503	0.169	0.046975	0.108
40	4e-4	50 tracts	271	0.102795	0.17	0.046975	0.1084
40	4e-4	50 tracts	272	0.103023	0.17	0.047975	0.1088
40	4e-4	50 tracts	273	0.10321	0.17	0.047975	0.1092
40	4e-4	50 tracts	274	0.103516	0.171	0.047975	0.1096
40	4e-4	50 tracts	275	0.103862	0.171	0.048975	0.11
40	4e-4	50 tracts	276	0.104095	0.172	0.048975	0.1104
40	4e-4	50 tracts	277	0.10439	0.173	0.048975	0.1108
40	4e-4	50 tracts	278	0.104921	0.174	0.048975	0.1112
40	4e-4	50 tracts	279	0.105454	0.174025	0.048975	0.1116
40	4e-4	50 tracts	280	0.10587	0.174025	0.049975	0.112
40	4e-4	50 tracts	281	0.106356	0.174025	0.049975	0.1124
40	4e-4	50 tracts	282	0.106938	0.174025	0.049975	0.1128
40	4e-4	50 tracts	283	0.107375	0.175025	0.049975	0.1132
40	4e-4	50 tracts	284	0.10783	0.175025	0.049975	0.1136
40	4e-4	50 tracts	285	0.108346	0.17602499999999996	0.049975	0.114
40	4e-4	50 tracts	286	0.108767	0.17602499999999996	0.049975	0.1144
40	4e-4	50 tracts	287	0.109148	0.17602499999999996	0.049975	0.1148
40	4e-4	50 tracts	288	0.109305	0.17602499999999996	0.049975	0.1152
40	4e-4	50 tracts	289	0.10982	0.178	0.050975	0.1156
40	4e-4	50 tracts	290	0.110274	0.179	0.050975	0.116
40	4e-4	50 tracts	291	0.110551	0.18	0.051	0.1164
40	4e-4	50 tracts	292	0.110936	0.181	0.051	0.1168
40	4e-4	50 tracts	293	0.11130199999999998	0.181	0.052	0.1172
40	4e-4	50 tracts	294	0.111516	0.181	0.052	0.1176
40	4e-4	50 tracts	295	0.111781	0.181	0.052	0.118
40	4e-4	50 tracts	296	0.112031	0.181	0.052	0.1184
40	4e-4	50 tracts	297	0.11248	0.182	0.053	0.1188
40	4e-4	50 tracts	298	0.112859	0.182	0.054	0.1192
40	4e-4	50 tracts	299	0.112998	0.182	0.053	0.1196
40	4e-4	50 tracts	300	0.113301	0.182	0.054	0.12
40	4e-4	50 tracts	301	0.11374	0.182	0.05500000000000001	0.1204
40	4e-4	50 tracts	302	0.11406	0.182	0.05600000000000001	0.1208
40	4e-4	50 tracts	303	0.114415	0.18202499999999996	0.05600000000000001	0.1212
40	4e-4	50 tracts	304	0.114793	0.18302499999999997	0.05600000000000001	0.1216
40	4e-4	50 tracts	305	0.115205	0.18402499999999997	0.05600000000000001	0.122
40	4e-4	50 tracts	306	0.115899	0.18402499999999997	0.05699999999999999	0.1224
40	4e-4	50 tracts	307	0.116105	0.18402499999999997	0.05600000000000001	0.1228
40	4e-4	50 tracts	308	0.116539	0.18502499999999997	0.05600000000000001	0.1232
40	4e-4	50 tracts	309	0.116602	0.18502499999999997	0.05600000000000001	0.1236
40	4e-4	50 tracts	310	0.117192	0.18602499999999997	0.05600000000000001	0.124
40	4e-4	50 tracts	311	0.117343	0.18702499999999997	0.05600000000000001	0.1244
40	4e-4	50 tracts	312	0.11771	0.18802499999999997	0.05600000000000001	0.1248
40	4e-4	50 tracts	313	0.11806	0.189	0.05600000000000001	0.1252
40	4e-4	50 tracts	314	0.118502	0.189	0.05699999999999999	0.12560000000000002
40	4e-4	50 tracts	315	0.118933	0.189	0.05799999999999999	0.126
40	4e-4	50 tracts	316	0.11908	0.19	0.05799999999999999	0.1264
40	4e-4	50 tracts	317	0.119364	0.19	0.059	0.1268
40	4e-4	50 tracts	318	0.119734	0.19	0.059	0.1272
40	4e-4	50 tracts	319	0.120439	0.191	0.06	0.12760000000000002
40	4e-4	50 tracts	320	0.120465	0.191	0.06	0.128
40	4e-4	50 tracts	321	0.120932	0.191	0.06	0.1284
40	4e-4	50 tracts	322	0.121304	0.191	0.06	0.1288
40	4e-4	50 tracts	323	0.12164	0.191	0.06	0.1292
40	4e-4	50 tracts	324	0.122054	0.192	0.06	0.1296
40	4e-4	50 tracts	325	0.12213	0.192	0.06	0.13
40	4e-4	50 tracts	326	0.122458	0.19202499999999997	0.06	0.13040000000000002
40	4e-4	50 tracts	327	0.122889	0.19302499999999995	0.06	0.1308
40	4e-4	50 tracts	328	0.12327	0.19302499999999995	0.06	0.1312
40	4e-4	50 tracts	329	0.123499	0.19302499999999995	0.06	0.1316
40	4e-4	50 tracts	330	0.12396	0.195025	0.06	0.132
40	4e-4	50 tracts	331	0.124274	0.196025	0.06	0.13240000000000002
40	4e-4	50 tracts	332	0.124533	0.19604999999999995	0.061	0.1328
40	4e-4	50 tracts	333	0.124846	0.19604999999999995	0.061	0.1332
40	4e-4	50 tracts	334	0.12537700000000002	0.19604999999999995	0.062	0.1336
40	4e-4	50 tracts	335	0.125944	0.19705	0.062	0.134
40	4e-4	50 tracts	336	0.126461	0.198025	0.062	0.13440000000000002
40	4e-4	50 tracts	337	0.126762	0.198025	0.063	0.1348
40	4e-4	50 tracts	338	0.127057	0.199025	0.063	0.1352
40	4e-4	50 tracts	339	0.127423	0.199025	0.064	0.1356
40	4e-4	50 tracts	340	0.127702	0.198025	0.064	0.136
40	4e-4	50 tracts	341	0.12820700000000002	0.198025	0.065	0.1364
40	4e-4	50 tracts	342	0.128605	0.199	0.065	0.1368
40	4e-4	50 tracts	343	0.128941	0.2	0.066	0.13720000000000002
40	4e-4	50 tracts	344	0.128677	0.2	0.065	0.1376
40	4e-4	50 tracts	345	0.12888	0.2	0.066	0.138
40	4e-4	50 tracts	346	0.12895700000000002	0.2	0.067	0.1384
40	4e-4	50 tracts	347	0.129429	0.201	0.067	0.1388
40	4e-4	50 tracts	348	0.129945	0.202	0.068	0.13920000000000002
40	4e-4	50 tracts	349	0.130139	0.202	0.068	0.1396
40	4e-4	50 tracts	350	0.130625	0.203	0.069	0.14
40	4e-4	50 tracts	351	0.131057	0.204	0.069	0.1404
40	4e-4	50 tracts	352	0.131554	0.204	0.069	0.1408
40	4e-4	50 tracts	353	0.131825	0.205	0.069	0.14120000000000002
40	4e-4	50 tracts	354	0.13247	0.206	0.07	0.1416
40	4e-4	50 tracts	355	0.132718	0.207	0.07	0.14200000000000002
40	4e-4	50 tracts	356	0.13321	0.208	0.07	0.1424
40	4e-4	50 tracts	357	0.133455	0.208	0.07	0.1428
40	4e-4	50 tracts	358	0.133648	0.207	0.07	0.1432
40	4e-4	50 tracts	359	0.134195	0.208	0.07	0.1436
40	4e-4	50 tracts	360	0.134455	0.208	0.07	0.14400000000000002
40	4e-4	50 tracts	361	0.134725	0.208	0.07	0.1444
40	4e-4	50 tracts	362	0.134914	0.209	0.07	0.1448
40	4e-4	50 tracts	363	0.135574	0.21	0.07	0.1452
40	4e-4	50 tracts	364	0.135975	0.21	0.07100000000000001	0.1456
40	4e-4	50 tracts	365	0.136402	0.21002499999999996	0.07100000000000001	0.14600000000000002
40	4e-4	50 tracts	366	0.136803	0.21102499999999996	0.07100000000000001	0.1464
40	4e-4	50 tracts	367	0.136987	0.21102499999999996	0.07100000000000001	0.1468
40	4e-4	50 tracts	368	0.137404	0.21202499999999996	0.07100000000000001	0.1472
40	4e-4	50 tracts	369	0.13755599999999998	0.21302499999999996	0.07100000000000001	0.1476
40	4e-4	50 tracts	370	0.13799999999999998	0.21402499999999997	0.07200000000000001	0.14800000000000002
40	4e-4	50 tracts	371	0.138263	0.21402499999999997	0.07200000000000001	0.1484
40	4e-4	50 tracts	372	0.138666	0.21502499999999997	0.07200000000000001	0.14880000000000002
40	4e-4	50 tracts	373	0.138682	0.21402499999999997	0.07200000000000001	0.1492
40	4e-4	50 tracts	374	0.138892	0.2140499999999999	0.07100000000000001	0.1496
40	4e-4	50 tracts	375	0.139239	0.21402499999999997	0.07197500000000001	0.15
