sample	length	marker	subject
MSI1B2	0.022810527862506813	Nax53LA	MSI1
MSI1B214	0.040248369477935864	Nax53LA	MSI1
MSI1B21418	-0.0036906660446007766	Nax53LA	MSI1
MSI1B21419	0.00822139748659012	Nax53LA	MSI1
MSI1B21435	0.03413192631745865	Nax53LA	MSI1
MSI1C9	-0.016588372839257737	Nax53LA	MSI1
MSI1C931	0.024382996457627426	Nax53LA	MSI1
MSI1C93113	0.0013143705765088498	Nax53LA	MSI1
MSI1C93133	0.03860229817276606	Nax53LA	MSI1
MSI1M2	0	Nax53LA	MSI1
MSI1A3	0.03462889220990406	Nax53UA	MSI1
MSI1A333	-0.04572705780812125	Nax53UA	MSI1
MSI1A33311	-0.0016157356597514827	Nax53UA	MSI1
MSI1A33322	-0.055989987614397885	Nax53UA	MSI1
MSI1A3333C	0.005747461607883864	Nax53UA	MSI1
MSI1B2	0.010428433194800357	Nax53UA	MSI1
MSI1B214	0.04347801759138936	Nax53UA	MSI1
MSI1B21418	-0.022374711929329383	Nax53UA	MSI1
MSI1B21419	-0.0045404189782998206	Nax53UA	MSI1
MSI1B21435	0.03472544467566352	Nax53UA	MSI1
MSI1C9	-0.03537546745874298	Nax53UA	MSI1
MSI1C931	0.013644710500263946	Nax53UA	MSI1
MSI1C93113	-0.019085056469162476	Nax53UA	MSI1
MSI1C93133	0.032327033276869255	Nax53UA	MSI1
MSI1M2	0	Nax53UA	MSI1
MSI1A3	-0.008439400834518107	Nax55	MSI1
MSI1A333	5.371694243838654e-5	Nax55	MSI1
MSI1A33311	-4.0549631165287536e-4	Nax55	MSI1
MSI1A33322	-0.007741178820595884	Nax55	MSI1
MSI1A3333C	-0.006367933987645458	Nax55	MSI1
MSI1B2	-0.001767305857605539	Nax55	MSI1
MSI1B214	-0.002923655133530545	Nax55	MSI1
MSI1B21418	-0.006826420701923075	Nax55	MSI1
MSI1B21419	0.004969851581691831	Nax55	MSI1
MSI1B21435	-0.004337402427702086	Nax55	MSI1
MSI1C9	-0.016563227548411108	Nax55	MSI1
MSI1C931	-0.0022178933263634626	Nax55	MSI1
MSI1C93113	-0.00356861250268814	Nax55	MSI1
MSI1C93133	-0.00742081733831057	Nax55	MSI1
MSI1M2	0	Nax55	MSI1
MSI1A3	-0.011664751465347178	Nax56LA	MSI1
MSI1A333	0.017945154965586463	Nax56LA	MSI1
MSI1A33311	0.006512979375423056	Nax56LA	MSI1
MSI1A33322	-0.0020493962928600507	Nax56LA	MSI1
MSI1A3333C	-0.030024661305152245	Nax56LA	MSI1
MSI1B2	-0.013137125508570602	Nax56LA	MSI1
MSI1B214	0.00742288939470348	Nax56LA	MSI1
MSI1B21418	-0.002983456430170728	Nax56LA	MSI1
MSI1B21419	0.010121637164822506	Nax56LA	MSI1
MSI1B21435	3.016632007570852e-4	Nax56LA	MSI1
MSI1C9	-0.0073329299675692905	Nax56LA	MSI1
MSI1C931	0.010956305713619274	Nax56LA	MSI1
MSI1C93113	-3.9454247829207034e-4	Nax56LA	MSI1
MSI1C93133	0.006047226347595691	Nax56LA	MSI1
MSI1M2	0	Nax56LA	MSI1
MSI1A3	0.01697616071740793	Nax56UA	MSI1
MSI1A333	0.007052067974988141	Nax56UA	MSI1
MSI1A33311	0.017606731788079255	Nax56UA	MSI1
MSI1A33322	0.008602688385364932	Nax56UA	MSI1
MSI1A3333C	-0.00399676228178425	Nax56UA	MSI1
MSI1B2	0.0028105384756291762	Nax56UA	MSI1
MSI1B214	-0.0024185503119302787	Nax56UA	MSI1
MSI1B21418	0.007386188828341744	Nax56UA	MSI1
MSI1B21419	0.026418402637367944	Nax56UA	MSI1
MSI1B21435	9.5485758214231e-4	Nax56UA	MSI1
MSI1C9	-6.358392234862009e-4	Nax56UA	MSI1
MSI1C931	0.007685209072014754	Nax56UA	MSI1
