samples	mrca	comparison	subject
C12P9_C12P1	4427.994025370729	primary_primary	C12
C12P9_C12P2	4427.994025370729	primary_primary	C12
C12P9_C12P4	4427.994025370729	primary_primary	C12
C12P9_C12P5	4427.994025370729	primary_primary	C12
C12P9_C12P6	4427.994025370729	primary_primary	C12
C12P9_C12P7	4427.994025370729	primary_primary	C12
C12P10_C12P3	5040.236273649157	primary_primary	C12
C12P10_C12P1	4692.884037232867	primary_primary	C12
C12P10_C12P2	4978.985078594342	primary_primary	C12
C12P10_C12P4	4708.504499388846	primary_primary	C12
C12P10_C12P5	5216.730726979568	primary_primary	C12
C12P10_C12P6	5171.920217843397	primary_primary	C12
C12P10_C12P7	5216.730726979568	primary_primary	C12
C12P3_C12P1	4692.884037232867	primary_primary	C12
C12P3_C12P2	4978.985078594342	primary_primary	C12
C12P3_C12P4	4708.504499388846	primary_primary	C12
C12P3_C12P5	5040.236273649157	primary_primary	C12
C12P3_C12P6	5040.236273649157	primary_primary	C12
C12P3_C12P7	5040.236273649157	primary_primary	C12
C12P1_C12P2	4692.884037232867	primary_primary	C12
C12P1_C12P4	4692.884037232867	primary_primary	C12
C12P1_C12P5	4692.884037232867	primary_primary	C12
C12P1_C12P6	4692.884037232867	primary_primary	C12
C12P1_C12P7	4692.884037232867	primary_primary	C12
C12P2_C12P4	4708.504499388846	primary_primary	C12
C12P2_C12P5	4978.985078594342	primary_primary	C12
C12P2_C12P6	4978.985078594342	primary_primary	C12
C12P2_C12P7	4978.985078594342	primary_primary	C12
C12P4_C12P5	4708.504499388846	primary_primary	C12
C12P4_C12P6	4708.504499388846	primary_primary	C12
C12P4_C12P7	4708.504499388846	primary_primary	C12
C12P5_C12P6	5171.920217843397	primary_primary	C12
C12P5_C12P7	5293.0597045931845	primary_primary	C12
C12P6_C12P7	5171.920217843397	primary_primary	C12
C12M1	5339.391175478223	met_primary	C12
C12L5	5343.243362626212	met_primary	C12
C12L1	4281.497882738508	met_primary	C12
C12L2	5343.243362626212	met_primary	C12
C12L3	5343.243362626212	met_primary	C12
C31P1_C31P2	1817.3966752078968	primary_primary	C31
C31P1_C31P3	1478.9894139266357	primary_primary	C31
C31P1_C31P4	1577.601661458231	primary_primary	C31
C31P2_C31P3	1478.9894139266357	primary_primary	C31
C31P2_C31P4	1577.601661458231	primary_primary	C31
C31P3_C31P4	1478.9894139266357	primary_primary	C31
C31M1	2071.703826762093	met_primary	C31
C31L1	1744.2483053184521	met_primary	C31
C31L2	1958.095983256222	met_primary	C31
C36P1_C36P2	1179.0512743526851	primary_primary	C36
C36P1_C36P3	1326.7200269699108	primary_primary	C36
C36P2_C36P3	1179.0512743526851	primary_primary	C36
C36L1	1250.73797781216	met_primary	C36
C36L2	1295.3063578929239	met_primary	C36
C36L3	1295.3063578929239	met_primary	C36
C36L4	1357.1597308328091	met_primary	C36
C36M1	1295.3063578929239	met_primary	C36
C36M2	1295.3063578929239	met_primary	C36
C38P1_C38P2	3796.0334641335066	primary_primary	C38
C38P1_C38P3	3947.46212494961	primary_primary	C38
C38P1_C38P5	4174.661885409816	primary_primary	C38
C38P1_C38P4	4051.9835346521622	primary_primary	C38
C38P2_C38P3	3796.0334641335066	primary_primary	C38
C38P2_C38P5	3796.0334641335066	primary_primary	C38
C38P2_C38P4	3796.0334641335066	primary_primary	C38
C38P3_C38P5	3947.46212494961	primary_primary	C38
C38P3_C38P4	3947.46212494961	primary_primary	C38
C38P5_C38P4	4051.9835346521622	primary_primary	C38
C38M1	4174.318246283625	met_primary	C38
C38M2	4174.318246283625	met_primary	C38
C38M3	4255.197029833019	met_primary	C38
C38L1	4174.318246283625	met_primary	C38
C45P2_C45P3	3159.8040808548635	primary_primary	C45
C45P2_C45P1	2935.6745709375086	primary_primary	C45
C45P3_C45P1	2935.6745709375086	primary_primary	C45
C45L1	2412.1127761792295	met_primary	C45
C45L2	2862.1858099803603	met_primary	C45
C45M1	3076.558655610631	met_primary	C45
C45M2	3076.558655610631	met_primary	C45
C46P4_C46P1	1688.4511691870305	primary_primary	C46
C46P4_C46P2	1549.7540368819573	primary_primary	C46
C46P4_C46P3	1802.2384778839307	primary_primary	C46
C46P4_C46P5	1921.223445797548	primary_primary	C46
C46P1_C46P2	1549.7540368819573	primary_primary	C46
C46P1_C46P3	1688.4511691870305	primary_primary	C46
C46P1_C46P5	1688.4511691870305	primary_primary	C46
C46P2_C46P3	1549.7540368819573	primary_primary	C46
C46P2_C46P5	1549.7540368819573	primary_primary	C46
C46P3_C46P5	1802.2384778839307	primary_primary	C46
C46M1	2072.330828171476	met_primary	C46
C46L1	2072.330828171476	met_primary	C46
C51P2_C51P1	2163.9650940620277	primary_primary	C51
C51P2_C51P3	1985.081701562614	primary_primary	C51
C51P1_C51P3	1985.081701562614	primary_primary	C51
C51M1	2607.6850385063117	met_primary	C51
