a	b	l1	r	marker	divs
C94L11	C94L5	0.07906331413169111	0.8573743919557218	25	838.2996873588143
C94L11	C94L6	0.0987012907050796	0.930750299268898	25	1046.5190088308518
C94L11	C94L7	0.0806005389067107	0.9743454492514106	25	854.5987138093462
C94L11	C94L8	0.09257973117269692	0.8939222069785473	25	981.6127814799822
C94L11	C94L9	0.2097890576625161	0.8919620484713873	25	2224.370472971291
C94L11	C94N1	0.23919512721899244	NA	25	2536.159817832117
C94L11	C94N2	0.24643703048195043	0.14623984545913046	25	2612.94492743565
C94L11	C94N3	0.2504000730812395	-0.3063612435631422	25	2654.9646354185465
C94L11	C94P1b	0.1689406865135086	0.7033918695291744	25	1791.2596536310725
C94L11	C94P1d	0.1436226556264977	0.7140370026445887	25	1522.815336437762
C94L11	C94P1e	0.14305464072041363	0.7449043148018325	25	1516.7927364061936
C94L11	C94P1f	0.2082983275724027	0.6473905581367546	25	2208.564424588384
C94L12	C94L2	0.13603541560910845	0.9012261340926392	25	1442.3686589319395
C94L12	C94L3	0.21571696202239948	0.7776319607818047	25	2287.223395672027
C94L12	C94L4	0.1743301858394754	0.8011538685503553	25	1848.403926541934
C94L12	C94L5	0.14862609930492665	0.8827729631175764	25	1575.8663034685405
C94L12	C94L6	0.2288406294107316	0.5328598825202665	25	2426.3722081075293
C94L12	C94L7	0.19152249369480792	0.7121572262638532	25	2030.6920896221711
C94L12	C94L8	0.2290414430377199	0.697684076886213	25	2428.501413069027
C94L12	C94L9	0.2756451805044631	0.522741079109376	25	2922.635753087332
C94L12	C94N1	0.33403018347410024	NA	25	3541.685564917467
C94L12	C94N2	0.3284922038405156	0.33249148416528407	25	3482.9669715164773
C94L12	C94N3	0.33957613082977117	-0.10467010166079979	25	3600.488639205797
C94L12	C94P1b	0.14448048716494133	0.8916106690171505	25	1531.910830579154
C94L12	C94P1d	0.1927131836182581	0.9023399944206395	25	2043.3168448772697
C94L12	C94P1e	0.15236677115572686	0.8967064628658888	25	1615.5282386843423
C94L12	C94P1f	0.18390684058456727	0.8157841035832929	25	1949.9441511950754
C94L2	C94L3	0.13014836655535503	0.8163955816639471	25	1379.9489205813895
C94L2	C94L4	0.12791664490579965	0.8390994170451508	25	1356.2862195974922
C94L2	C94L5	0.08111409574451589	0.9397882506539909	25	860.0439008888554
C94L2	C94L6	0.1640135173153218	0.567230509152878	25	1739.0174165864157
C94L2	C94L7	0.15022798445638844	0.7558042463052923	25	1592.8509168306673
C94L2	C94L8	0.16302357527940883	0.6923942304902381	25	1728.521169264593
C94L2	C94L9	0.21296431536058416	0.5812313120311864	25	2258.0373836593567
C94L2	C94N1	0.22986619978399744	NA	25	2437.2462188002914
C94L2	C94N2	0.22719091511306128	0.38232018702822507	25	2408.880467530289
C94L2	C94N3	0.23316744428390973	-0.0638483114129741	25	2472.248953792679
C94L2	C94P1b	0.09223508379387724	0.9216861351814076	25	977.9585229520341
C94L2	C94P1d	0.09823954338928508	0.9296036807952578	25	1041.6231524564962
